"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4072298.3, 575649.95, 0, NA, NA, NA, NA
4059693.3, 577394.95, 21625, 0, 0, NA, NA
4072253.3, 577399.95, 27525, 1125, 0, 3415, 3.04
4067010.6, 577508.92, 94975, 8575, 88460, 19205.75, 2.24
4055805.6, 577635.47, 92425, 11200, 57095, 22739.75, 2.03
4057587, 577739.56, 278100, 29000, 210812.5, 93812.5, 3.22
4062060.6, 577742.07, 329525, 203750, 1768225, 1718125, 8.44
4103685.8, 577906.62, 133775, 11650, 140065, 38692.5, 3.32
4063509.5, 577930.68, 11500, 0, 4379.75, NA, NA
4069665.7, 577937.69, 66225, 12325, 77277.5, 31677.5, 2.57
4047565.8, 577965.2, 272900, 0, 0, NA, NA
4064466.4, 578008.11, 99550, 25750, 79072.5, 50637.5, 1.96
4068945.2, 578024.99, 103100, 0, 181017.5, NA, NA
4095214.4, 578055.27, 324825, 9225, 0, 101397.5, 11
4093759, 578124.43, 143500, 0, 0, NA, NA
4054619.3, 578201.68, 34450, 0, 5899.75, NA, NA
4071886.1, 578374.03, 88075, 23300, 185505, 107217.5, 4.6
4052508.3, 578497.73, 229150, 7075, 127015, 33652.5, 4.76
4092544.2, 578500.29, 131525, 9025, 807900, 123132.5, 13.6
4069157.4, 578516.72, 152275, 13125, 86297.5, 73195, 5.58
4072613.3, 578629.95, 7875, 0, 2463.875, NA, NA
4055982.5, 579109.68, 44350, 0, 0, NA, NA
4074573.5, 579116.15, 75950, 0, 0, NA, NA
4065815.6, 579146.77, 188400, 1500, 0, 2764.75, 1.84
4048453.3, 579315.48, 125200, 6400, 0, 13957.75, 2.18
4104609.2, 579344.09, 53575, 4150, 0, 13259, 3.19
4056117.6, 579668.9, 93650, 0, 0, NA, NA
4071229.4, 579727.04, 193650, 14275, 97362.5, 40865, 2.86
4069308.5, 579743.98, 51600, 1150, 22862, 2889.25, 2.51
4072521.1, 579750.27, 16850, 0, 14960, NA, NA
4091144.3, 579835.07, 88750, 50, 0, 256.9, 5.14
4092996.8, 579915.85, 227750, 575, 0, 7894.25, 13.7
4055965.1, 579919.6, 21375, 0, 7152.5, NA, NA
4051433.3, 579965.41, 64175, 0, 0, NA, NA
4069444.2, 580022.74, 67025, 0, 17340.75, NA, NA
4085290.8, 580047.45, 77025, 13675, 84430, 46085, 3.37
4055908.3, 580094.95, 29250, 0, 0, NA, NA
4056110.1, 580135.61, 85275, 1325, 0, 2749.75, 2.08
4070798, 580177.21, 375925, 56500, 0, 164707.5, 2.92
4061727.1, 580203.15, 162550, 11225, 13061.25, 28307.5, 2.52
4057053.7, 580489.54, 116950, 0, 0, NA, NA
4082749.3, 580505.71, 128825, 2025, 0, 6646, 3.28
4105338.7, 580520.81, 145200, 1675, 193825, 15804, 9.44
4084357.6, 580561.49, 81825, 2250, 14226.5, 4982.75, 2.21
4050115.8, 580595.5, 55500, 4225, 0, 11119.5, 2.63
4040433.4, 580610.34, 303650, 4650, 115210, 15234, 3.28
4070695.3, 580690.74, 31175, 150, 9313.5, 232.4575, 1.55
4086667.9, 580753.85, 78225, 2125, 291950, 28827.5, 13.6
4080403.3, 580799.95, 7650, 0, 0, NA, NA
4097130.9, 580869.85, 262250, 23300, 197245, 73305, 3.15
4055581.9, 580931.5, 143775, 6750, 3779.25, 12175, 1.8
4049553.3, 580960.23, 60350, 0, 0, NA, NA
4051825.8, 581057.95, 132475, 0, 0, NA, NA
4097728.4, 581092.87, 291600, 6750, 0, 15308, 2.27
4062192.5, 581258.2, 102450, 2100, 54412.5, 4447, 2.12
4071960, 581303.36, 41550, 8225, 24727, 19379.25, 2.36
4053734, 581527.24, 99725, 2175, 0, 4868.5, 2.24
4097088.3, 581550.47, 251975, 80250, 435350, 277850, 3.46
4106963.1, 581599.93, 202650, 550, 0, 3135.75, 5.7
4071565.2, 581710.39, 16600, 0, 0, NA, NA
4080508.8, 581731.55, 47900, 13775, 56905, 47755, 3.47
4070331.4, 581777.97, 70825, 3425, 35510, 9913.75, 2.89
4100712.1, 581982.52, 57750, 0, 0, NA, NA
4057267.4, 582095, 85725, 11975, 13341.75, 19646.5, 1.64
4096169, 582178, 84650, 3750, 7462, 7935.75, 2.12
4111804.8, 582210.1, 124225, 36750, 245005, 140890, 3.83
4101423.7, 582308.15, 79025, 0, 0, NA, NA
4057113.1, 582315.98, 89400, 0, 0, NA, NA
4072894, 582358.54, 25125, 5950, 86420, 60515, 10.2
4056156.6, 582365.38, 129000, 75, 0, 214.9425, 2.87
4103435, 582410.36, 136950, 525, 0, 3972.25, 7.57
4058715.9, 582427.4, 184750, 7125, 0, 32495, 4.56
4071348.3, 582504.95, 33050, 11850, 30425, 25082.5, 2.12
4060737.9, 582505.19, 154925, 1325, 0, 4001.25, 3.02
4087943, 582525.36, 249000, 14550, 0, 72022.5, 4.95
4114184.5, 582542.84, 210700, 8775, 0, 23755, 2.71
4078558.3, 582544.95, 4150, 275, 5825.75, 504.4, 1.83
4050380.8, 582567.94, 119575, 50, 0, 114.4225, 2.29
4097358.3, 582605.42, 238800, 11525, 98757.5, 16056.25, 1.39
4063115.3, 582637.63, 168225, 6625, 52355, 23878.25, 3.6
4079920.8, 582739.95, 23150, 0, 20805.5, NA, NA
4068881, 582763.59, 368825, 197000, 1127900, 878675, 4.46
4073068.3, 582834.95, 7925, 1225, 13283.75, 4263.5, 3.48
4116374.5, 582858.41, 637200, 67750, 440400, 429900, 6.34
4086188.3, 582934.29, 46025, 50, 45415, 159.3925, 3.19
4113653, 583006.28, 523975, 34500, 0, 121722.5, 3.52
4085517.4, 583054.2, 47250, 10150, 86140, 38320, 3.78
4043765.8, 583100.18, 130500, 300, 0, 749.35, 2.5
4089969.9, 583111.9, 17300, 525, 0, 5358.75, 10.2
4098148.5, 583116.76, 48550, 1250, 48167.5, 2911.75, 2.33
4098208.3, 583199.95, 0, NA, NA, NA, NA
4021828.3, 583217.93, 38450, 1750, 3473.25, 3690.25, 2.11
4070147.4, 583241.03, 39775, 925, 9918.5, 1799.525, 1.95
4099305.8, 583247.78, 160600, 8600, 0, 12793.5, 1.49
4098365.7, 583257.59, 109975, 35000, 115112.5, 93755, 2.67
4071057.7, 583302.7, 34150, 5250, 25422.5, 8780.75, 1.67
4068474.8, 583412.18, 51775, 9700, 83805, 34247.5, 3.53
4045473.3, 583412.71, 60225, 0, 0, NA, NA
4112173.4, 583422.22, 108425, 2675, 190487.5, 20703.5, 7.74
4071203.3, 583444.95, 9775, 0, 0, NA, NA
4110212, 583516.05, 780425, 10600, 0, 77247.5, 7.29
4044940.8, 583557.93, 118600, 1125, 72657.5, 2185.925, 1.94
4058496, 583566.74, 40350, 250, 595.875, 422.25, 1.69
4066235.5, 583801.05, 286475, 31250, 208005, 119685, 3.83
4067425.5, 583846.72, 54900, 375, 40557.5, 881.975, 2.35
4112883.8, 583932.57, 418350, 0, 0, NA, NA
4042250.8, 583955.12, 172925, 1200, 0, 2194.4, 1.83
4071502.1, 583973.89, 39725, 0, 0, NA, NA
4049515.9, 583990.17, 113275, 6225, 0, 19173, 3.08
4061115, 584034.06, 72375, 0, 10588.75, NA, NA
4072121.5, 584111.23, 32200, 4225, 4936.25, 10467.25, 2.48
4071776.9, 584215.47, 51550, 12075, 25950, 17793.5, 1.47
4079231.4, 584256.72, 88250, 200, 0, 474.7, 2.37
4089135.4, 584259.94, 123650, 24000, 298450, 145622.5, 6.07
4070974.8, 584398.39, 20875, 0, 2030.875, NA, NA
4055299.4, 584421.06, 184525, 7525, 32185, 18581.25, 2.47
4068013.3, 584444.95, 7425, 0, 2061.575, NA, NA
4072108.3, 584499.95, 66825, 2350, 26312.5, 4919.75, 2.09
4099009.8, 584603.95, 84875, 0, 0, NA, NA
4096625.4, 584614.75, 179425, 32000, 116517.5, 115247.5, 3.59
4092100.9, 584697.91, 113225, 0, 2888, NA, NA
4069757.3, 584701.15, 52725, 10725, 80795, 39882.5, 3.72
4101668.1, 584709.49, 55450, 25, 60815, 95.65, 3.83
4111905.6, 584712.88, 88650, 9650, 55517.5, 24631.5, 2.55
4076018.3, 584889.95, 7550, 1250, 435.7, 2967.25, 2.37
4069106.4, 584908.54, 494850, 143750, 758825, 742375, 5.17
4064078.3, 584959.95, 3825, 0, 0, NA, NA
4072333.3, 585039.95, 54225, 425, 0, 861.55, 2.03
4101658.8, 585067.32, 81700, 75, 0, 223.08, 2.97
4071159.9, 585129.04, 65550, 3350, 37432.5, 5677.25, 1.69
4115254.2, 585155.31, 61625, 8400, 9575.25, 22055.25, 2.63
4071711.4, 585197.13, 12000, 25, 13464.25, 49.0775, 1.96
4078376.7, 585208.24, 35600, 125, 10865.75, 287.1, 2.3
4080228.9, 585248.6, 76925, 17925, 56147.5, 43127.5, 2.41
4075059.7, 585279.18, 59975, 150, 0, 518.125, 3.45
4072794.4, 585340.54, 238075, 43750, 250275, 190465, 4.34
4058335.8, 585347.49, 49425, 9700, 49200, 21757, 2.24
4100598.3, 585349.95, 7700, 300, 10341.75, 788.775, 2.63
4070047, 585418.55, 62150, 33750, 160535, 127475, 3.78
4072288.3, 585444.95, 9900, 2150, 5601.25, 3842.75, 1.79
4064534.4, 585460.04, 85075, 27500, 237182.5, 143862.5, 5.23
4056980.1, 585476.89, 170100, 13050, 75622.5, 61320, 4.7
4025353.3, 585513.27, 189875, 26000, 168090, 83725, 3.23
4071724.1, 585540.46, 62250, 700, 19391, 1851.25, 2.64
4065498.2, 585571.68, 212775, 70500, 257950, 281825, 3.99
4070658.8, 585597.62, 54100, 125, 0, 220.825, 1.77
4118780.8, 585610.55, 153325, 24825, 75527.5, 53025, 2.14
4056689.4, 585627.85, 47750, 19350, 85890, 72740, 3.76
4060342.1, 585654.51, 18250, 0, 2829, NA, NA
4056543.3, 585654.95, 79400, 0, 0, NA, NA
4072513.3, 585664.95, 22450, 325, 0, 845.675, 2.6
4090023.3, 585719.95, 7900, 0, 3512.25, NA, NA
4075473.5, 585763.47, 108625, 31750, 173330, 120802.5, 3.8
4055635.1, 585807.8, 421900, 7975, 0, 23021.75, 2.89
4101570.8, 585818.65, 74750, 0, 0, NA, NA
4098210.9, 585828.04, 134150, 37500, 135720, 80822.5, 2.15
4113201.3, 585874.3, 255600, 8725, 0, 22308.75, 2.56
4049143.3, 586060.31, 31025, 0, 959.875, NA, NA
4043813.3, 586185.53, 136450, 35250, 153802.5, 85410, 2.42
4076192.7, 586259.13, 57975, 900, 0, 1683, 1.87
4072193.3, 586351.81, 8400, 1700, 11729, 3833.5, 2.26
4103312.1, 586377.54, 299450, 57250, 292875, 290025, 5.07
4062566, 586427.87, 40975, 0, 11780.5, NA, NA
4066278.3, 586474.95, 7675, 50, 1999.1, 85.5825, 1.71
4093076.3, 586478.55, 103700, 0, 122.9875, NA, NA
4069615.2, 586505.33, 119850, 17675, 126677.5, 61925, 3.5
4108310.6, 586524.02, 198825, 99250, 645775, 556900, 5.61
4068712, 586568.68, 18775, 450, 3352.5, 1088.15, 2.42
4104390, 586570.97, 39575, 7150, 40482.5, 15235, 2.13
4105367.4, 586606.53, 76575, 25500, 111525, 94367.5, 3.7
4068324.4, 586609.97, 17650, 0, 9480, NA, NA
4056703.7, 586671.33, 109125, 0, 10258.25, NA, NA
4113565.8, 586709.83, 52750, 425, 26212.5, 787.775, 1.85
4097270.2, 586717.64, 92650, 6400, 40775, 26667.5, 4.17
4095243.1, 586748.3, 88725, 3525, 0, 20397.25, 5.79
4106045.7, 586759.12, 154175, 21975, 47245, 119015, 5.42
4104649.6, 586771.61, 78525, 18275, 136750, 68840, 3.77
4115867.6, 586777.75, 12875, 0, 8604.75, NA, NA
4069459.5, 586798.07, 78575, 1525, 0, 5128.75, 3.36
4114981.6, 586810.27, 160475, 2450, 119950, 6192, 2.53
4056973.4, 586831.95, 81100, 7975, 15088.75, 23101.5, 2.9
4062902.2, 586877.28, 67400, 14450, 64152.5, 35817.5, 2.48
4071399.2, 586880.49, 46500, 2825, 18941, 7673.5, 2.72
4071343.3, 586894.95, 70450, 0, 0, NA, NA
4071112, 586910.91, 32750, 575, 16880.25, 1362.2, 2.37
4104017.7, 586913.55, 68525, 1050, 63422.5, 3899.75, 3.71
4068704.9, 587025.17, 66400, 5400, 20517.5, 13234.25, 2.45
4075444.4, 587054.52, 52400, 15325, 41435, 33970, 2.22
4073968.9, 587098.34, 48800, 3625, 31980, 7480.5, 2.06
4068441.5, 587108.7, 99150, 23275, 124970, 67185, 2.89
4063329.1, 587117.08, 64550, 4675, 32827.5, 12078, 2.58
4042218.3, 587237.77, 219375, 6700, 73500, 34340, 5.13
4105355.1, 587246.23, 33825, 650, 0, 1724.2, 2.65
4055366.5, 587353.08, 123800, 0, 0, NA, NA
